body_system,health_concern,herb_name,latin_name,actions,indications,energetics,safety,dose_min_ml,dose_max_ml,dose_unit,ratio
Pregnancy & Lactation,Pregnancy & Lactation,Gotu Kola,Centella asiatica,Connective tissue tonic; Microcirculatory support,Used for varicosities and tissue healing,Cooling; Moistening; Grounding,"Generally considered low-risk in modest doses; occasional use in pregnancy and lactation may be acceptable with professional oversight, especially for varicose veins and skin healing",,,-,
Pregnancy & Lactation,Pregnancy & Lactation,False Unicorn Root,Chamaelirium luteum,Uterine tonic; Fertility support,Traditionally used pre-conception and for threatened miscarriage in older texts,Warming; Nourishing,Modern safety data are poor and plant is at-risk; generally avoided in pregnancy and lactation despite historical use,,,-,
Women's Health,Fertility,False Unicorn Root,Chamaelirium luteum,Uterine tonic; Fertility modulator,Traditionally used for infertility linked with pelvic weakness or uterine hypotonicity,Warming; Nourishing,Limited modern data; avoid in pregnancy; use only under expert supervision in fertility cycles; sustainability concerns restrict use,1,5,mL,1:2
Women's Health,Menopause,False Unicorn Root,Chamaelirium luteum,Uterine tonic; Hormonal support,Traditionally used for depletion patterns and pelvic weakness,Warming; Nourishing,Limited modern data; use only under supervision; avoid in pregnancy; rare and sustainability concerns limit modern use,1,5,mL,1:2
Women's Health,Overian Cyst,False Unicorn Root,Chamaelirium luteum,Uterine tonic; Pelvic trophorestorative,"Traditionally used for ovarian and uterine weakness, recurrent cystic tendencies and threatened fertility",Warming; Nourishing,"Limited modern data and sustainability concerns; use low doses, short term and under experienced supervision; avoid in pregnancy and lactation",1,5,mL,1:2
Digestion & Liver,Bloating,Greater Celandine,Chelidonium majus,Antispasmodic; Bitter; Cholagogue; Liver supportive,"Useful for bloating associated with tension in the biliary system, sluggish bile flow or upper digestive discomfort; helps ease cramping and fullness",Warming; Drying; Moves digestive stagnation,Use short-term and in moderate doses; avoid in pregnancy; avoid in liver disease unless under professional supervision,,,mL,
Pregnancy & Lactation,Pregnancy & Lactation,Greater Celandine,Chelidonium majus,Hepatic; Antispasmodic,Used for biliary spasm and liver issues,Cooling; Drying,Reports of hepatotoxicity and limited safety data mean it should be avoided in pregnancy and lactation,,,-,
Women's Health,Fibroids,Greater Celandine,Chelidonium majus,Hepatic modulator; Antispasmodic; Bitter,Used in some protocols to support liver clearance of hormones and relieve upper abdominal congestion associated with fibroid patterns,Cooling; Drying; Moving,"Use with care due to potential hepatotoxicity; avoid in pregnancy, lactation and active liver disease; short-term use only under professional supervision",10,20,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Fringe Tree,Chionanthus virginicus,Hepatic/biliary support; Bitter tonic,"Used for gallbladder/liver issues, not pregnancy care",Cooling; Drying,Safety data in pregnancy and lactation are inadequate; should be avoided unless under specialist guidance for clear need,,,-,
Digestion & Liver,Bloating,Cinnamon,Cinnamomum verum,Warming carminative; Circulatory stimulant; Mild astringent; Blood sugar modulator,"Helps relieve bloating from cold, sluggish or damp digestion; improves digestive warmth and movement; reduces fermentation-type gas",Warming; Drying; Moves stagnation; Strengthens digestive fire,Safe in moderate doses; avoid very high doses in pregnancy; may slightly lower blood sugar,30,60,mL,1:4
Digestion & Liver,Diarrhoea,Cinnamon,Cinnamomum verum,Warming carminative; Mild astringent; Antimicrobial,"Indicated where diarrhoea presents with coldness, abdominal discomfort and excessive fermentation or dampness in the gut",Warming; Drying; Moves stagnation; Strengthens digestive fire,Safe in moderate doses; caution in pregnancy at high doses and in those with very high sensitivity to warming herbs,20,40,mL,1:4
Digestion & Liver,Dyspepsia,Cinnamon,Cinnamomum verum,Warming carminative; Mild astringent; Circulatory stimulant,"Supports dyspepsia with coldness, poor circulation and slow gastric emptying; reduces fermentation and discomfort",Warming; Drying; Moves stagnation; Strengthens digestive fire,Safe in moderate doses; avoid high doses in pregnancy; monitor blood glucose in diabetics,20,40,mL,1:4
Pregnancy & Lactation,Pregnancy & Lactation,Cinnamon,Cinnamomum verum,Warming carminative; Mild antimicrobial,Used for digestion and blood sugar support,Warming; Drying; Moving,Culinary use is considered safe; concentrated medicinal dosing is usually kept moderate in pregnancy and used with caution in gestational diabetes or coagulation disorders; compatible with breastfeeding in typical amounts,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Chen Pi,Citrus reticulata pericarpium,Aromatic digestive; Qi-moving,Used in TCM formulas for digestion,Cooling to neutral; Drying,Very limited targeted safety data but food-like citrus peel is considered low-risk; small doses in formulas are likely acceptable with TCM supervision in pregnancy and lactation,,,-,
Haematology,Anaemia,Codonopsis,Codonopsis pilosula,Qi and blood tonic; Mild adaptogen; Digestive support,"Used for anaemia with fatigue, poor appetite and weakness; supports gentle blood building and energy production",Warming; Moistening; Nourishing,Generally safe; caution in very damp/sluggish digestion,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Codonopsis,Codonopsis pilosula,Qi tonic; Mild adaptogen; Digestive support,Used in some traditions as a gentler “ginseng-like” tonic in depletion,Neutral to slightly warming; Nourishing,Safety data are limited but it is often regarded as relatively gentle; use cautiously and at moderate doses during pregnancy and lactation under practitioner supervision,,,-,
Cardiovascular,Angina,Coleus,Coleus forskohlii,Circulatory stimulant; Vasodilator; Mild inotropic; Bronchodilator,Supports coronary circulation and vascular tone; used as part of treatment plans for angina-type chest tightness under professional supervision,Warming; Moving; Slightly drying,"Use only with practitioner oversight, especially with antihypertensives or anticoagulants; may lower blood pressure",20,40,mL,1:2
Cardiovascular,Hypertension,Coleus,Coleus forskohlii,Vasodilator; Mild inotrope; Bronchodilator,Supports reduction of elevated blood pressure via vasodilation and improved vascular tone under practitioner care,Warming; Moving; Slightly drying,Use with close monitoring alongside antihypertensive medications; may potentiate their effect,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Coleus,Coleus forskohlii,Vasodilator; Metabolic modulator,"Used in cardiometabolic and respiratory issues, not pregnancy care",Warming; Moving,Insufficient safety data and potential blood pressure/platelet effects mean it should be avoided in pregnancy and lactation,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Myrrh,Commiphora myrrha,Antimicrobial; Astringent; Blood-moving,Used for stubborn infections and stagnation,Warming; Drying; Moving,Traditionally avoided in pregnancy due to uterine and blood-moving effects; lactation data are lacking so internal use is usually avoided,,,-,
Cardiovascular,Arrhythmia,Corydalis,Corydalis yanhusuo,Analgesic; Mild sedative; Circulatory modulator,Used by practitioners for discomfort and restlessness associated with functional arrhythmias and palpitations,Cooling; Moving; Slightly sedating,Use under supervision; avoid in pregnancy and with strong sedatives or anticoagulants,20,60,mL,1:2
Cardiovascular,Palpitations,Corydalis,Corydalis yanhusuo,Mild sedative; Analgesic; Circulatory modulator,Used for anxiety-linked palpitations and chest discomfort in functional cardiac patterns,Cooling; Moving; Slightly sedating,Use under practitioner care; avoid in pregnancy and with strong sedatives or anticoagulants,20,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Corydalis,Corydalis yanhusuo,Analgesic; Sedative; Circulatory modulator,"Used for pain and stagnation, not routine pregnancy care",Cooling; Moving; Sedating,Generally avoided in pregnancy and lactation because of CNS and circulatory effects and limited safety data,,,-,
Women's Health,Dysmenorrhoea,Corydalis,Corydalis yanhusuo,Analgesic; Antispasmodic; Circulatory stimulant,"Useful for severe menstrual pain with stagnation, clotting or sharp fixed pelvic pain",Cooling; Moving; Sedating,Use with caution; avoid in pregnancy; may cause drowsiness; avoid with sedatives,10,30,mL,1:2
Women's Health,Endometriosis,Corydalis,Corydalis yanhusuo,Analgesic; Antispasmodic; Blood-moving,"Excellent for chronic pelvic pain, deep dyspareunia and the stabbing/aching pain profile of endometriosis",Cooling; Moving; Sedating,Use cautiously; avoid in pregnancy; can cause drowsiness; avoid with sedative medications,10,30,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Hawthorn Leaves,Crataegus monogyna folia,Cardiotonic; Vascular support,Similar indications to berries,Neutral to cooling; Strengthening,As for berries: typically low-risk but should be used under professional supervision where cardiac issues exist in pregnancy or breastfeeding,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Hawthorn Berries,Crataegus monogyna fructus,Cardiotonic; Vascular support,Used for mild cardiac weakness and anxiety,Neutral to cooling; Strengthening,Generally regarded as mild and likely compatible at modest doses; use with cardiologist/herbalist supervision in pregnancy and lactation,,,-,
Cardiovascular,Angina,Hawthorn,Crataegus spp.,Cardiotonic; Coronary vasodilator; Mild hypotensive; Antioxidant,"Key cardiac tonic to support myocardial function, coronary circulation and exercise tolerance in stable angina patterns",Cooling to neutral; Gently drying; Strengthening to heart qi,"Generally very safe; monitor with cardiac medications (e.g. beta-blockers, digitalis) under professional supervision",25,50,mL,1:2
Cardiovascular,Arrhythmia,Hawthorn,Crataegus spp.,Cardiotonic; Mild antiarrhythmic; Coronary vasodilator,Supports regulation of benign rhythm disturbances and strengthens cardiac function in functional arrhythmias,Cooling to neutral; Strengthening; Gently drying,Generally safe; monitor with cardiac medications,25,50,mL,1:2
Cardiovascular,Circulation / Raynaud's Syndrome,Hawthorn,Crataegus spp.,Cardiotonic; Peripheral circulatory support; Mild hypotensive,Supports overall cardiovascular function and peripheral perfusion in chronic Raynaud-type patterns,Neutral to cooling; Strengthening; Gently drying,Generally safe; monitor if combined with cardiac medications,25,50,mL,1:2
Cardiovascular,Heart Failure,Hawthorn,Crataegus spp.,Primary cardiotonic; Positive inotrope; Coronary vasodilator,"Key herb to support contractility, exercise tolerance and quality of life in mild to moderate heart failure under professional supervision",Neutral to cooling; Strengthening; Gently drying,"Use only with professional oversight; monitor closely with cardiac medications, particularly digitalis",25,60,mL,1:2
Cardiovascular,Hypertension,Hawthorn,Crataegus spp.,Cardiotonic; Mild hypotensive; Coronary vasodilator,Supports cardiac strength and gentle blood-pressure reduction in early-stage hypertension,Neutral to cooling; Strengthening,Generally very safe; monitor with cardiac medications,25,50,mL,1:2
Cardiovascular,Palpitations,Hawthorn,Crataegus spp.,Cardiotonic; Mild antiarrhythmic; Coronary vasodilator,"Useful for benign palpitations and awareness of heartbeat, especially with underlying cardiovascular weakness",Neutral to cooling; Strengthening; Gently drying,Generally safe; monitor with cardiac drugs,25,50,mL,1:2
Cardiovascular,Varicose Veins,Hawthorn,Crataegus spp.,Cardiotonic; Peripheral circulatory support,Adjunctive support for overall circulation and vascular health in chronic venous insufficiency,Neutral to cooling; Strengthening; Gently drying,Generally safe; monitor with cardiac drugs,25,50,mL,1:2
Men's Health,Benign Prostatic Hypertrophy (BPH),Crataeva,Crataeva nurvala,Urinary tract tonic; Bladder decongestant; Mild diuretic; Smooth muscle support,"Indicated for BPH with urinary hesitancy, incomplete emptying and dribbling; supports bladder tone and outflow",Warming; Moving; Slightly drying,Generally safe; use cautiously in severe renal impairment or acute urinary obstruction,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Crataeva,Crataeva nurvala,Urinary tract tonic; Bladder support,"Used for bladder outlet issues, not routine pregnancy herb",Warming; Moving,Safety data in pregnancy and breastfeeding are limited; avoid or reserve for specialist-guided use where benefits outweigh risks,,,-,
Cardiovascular,Angina,Saffron,Crocus sativus,Antioxidant; Mood-modulating; Microcirculatory tonic,"Used in small doses to support microcirculation, endothelial health and mood in chronic cardiovascular conditions",Cooling; Moving; Lightly uplifting,Use low doses; avoid in pregnancy and in significant bleeding disorders,5,15,mL,1:2
Men's Health,Erectile Dysfunction,Saffron,Crocus sativus,Mood modulator; Microcirculatory tonic; Mild aphrodisiac,Supports erectile function and libido where low mood and poor microcirculation are contributing factors,Cooling; Moving; Lightly uplifting,Use low doses; avoid in pregnancy and bleeding disorders,5,15,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Saffron,Crocus sativus,Antioxidant; Mood support; Microcirculatory,Used for mood and cardiometabolic support,Cooling; Moving; Uplifting,High doses of saffron have uterine and abortifacient concerns; avoid medicinal dosing in pregnancy; use with caution or avoid in lactation,,,-,
Women's Health,Dysmenorrhoea,Saffron,Crocus sativus,Analgesic; Mood modulator; Anti-inflammatory,Helps relieve menstrual pain and emotional tension associated with dysmenorrhoea,Cooling; Moving; Uplifting,High doses contraindicated in pregnancy; safe in non-pregnant menstruating individuals; may interact with anticoagulants,5,15,mL,1:2
Women's Health,PMS,Saffron,Crocus sativus,Antidepressant; Anxiolytic; Mild analgesic,"Very useful for PMS/PMDD with low mood, anxiety, irritability and menstrual pain",Cooling; Moving; Uplifting,Generally well tolerated at standard doses; high doses contraindicated in pregnancy; may interact with anticoagulants,5,15,mL,1:2
Cardiovascular,Angina,Turmeric,Curcuma longa,Anti-inflammatory; Mild antiplatelet; Hepatic support; Antioxidant,Supports vascular health and reduces inflammatory contributors to atherosclerosis and angina-type symptoms,Warming; Drying; Moving; Bitter,Generally safe; caution with anticoagulant therapy and gallstone disease,35,90,mL,1:1
Cardiovascular,Hypercholesterolaemia,Turmeric,Curcuma longa,Hypolipidaemic; Anti-inflammatory; Hepatoprotective,"Supports lipid balance, liver processing and reduction of inflammatory drivers of atherosclerosis",Warming; Drying; Moving,Generally safe; caution with gallstones and anticoagulant therapy,35,90,mL,1:1
Pregnancy & Lactation,Pregnancy & Lactation,Turmeric,Curcuma longa,Anti-inflammatory; Hepatic; Antioxidant,Used for inflammation and metabolic support,Warming; Drying; Moving,Culinary use is safe; medicinal doses are generally regarded as low-risk but high-dose extracts are usually avoided in pregnancy; compatible with breastfeeding at moderate doses,,,-,
Women's Health,Endometriosis,Turmeric,Curcuma longa,Anti-inflammatory; Antioxidant; Blood-moving,"Useful for reducing inflammation, adhesions and pelvic congestion associated with endometriosis",Warming; Drying; Moving,Generally safe for non-pregnant individuals; avoid very high doses if trying to conceive; compatible with most medicines except strong anticoagulants,20,50,mL,1:2
Digestion & Liver,Bloating,Globe Artichoke,Cynara scolymus,Bitter; Cholagogue; Hepatic support; Digestive tonic,"Supports bloating linked to sluggish bile flow, heavy meals or fat malabsorption; reduces post-meal fullness and improves digestive function",Cooling; Drying; Liver strengthening,Very safe; avoid in bile duct obstruction,20,40,mL,1:2
Digestion & Liver,Constipation,Globe Artichoke,Cynara scolymus,Bitter; Cholagogue; Hepatic support; Digestive tonic,"Supports constipation related to poor bile flow, heavy or fatty meals and sluggish liver function",Cooling; Drying; Liver strengthening; Bitter,Very safe; caution in known bile duct obstruction,15,35,mL,1:2
Digestion & Liver,Dyspepsia,Globe Artichoke,Cynara scolymus,Bitter; Cholagogue; Hepatic support; Digestive tonic,"Supports dyspepsia associated with fatty food intolerance, upper right quadrant discomfort and sluggish bile flow",Cooling; Drying; Liver strengthening; Bitter,Very safe; avoid in bile duct obstruction,15,35,mL,1:2
Cardiovascular,Hypercholesterolaemia,Globe Artichoke,Cynara scolymus,Hypolipidaemic; Bitter; Hepatic support,Supports reduction of LDL cholesterol and improvement of bile flow and fat metabolism,Cooling; Drying; Bitter; Liver strengthening,Generally safe; avoid in bile duct obstruction,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Globe Artichoke,Cynara scolymus,Hepatic; Hypolipidaemic; Digestive bitter,Used for dyspepsia and high cholesterol,Cooling; Drying; Bitter,Limited pregnancy data; occasional use at low–moderate doses is unlikely to pose major risk but should be practitioner-guided; breastfeeding use appears low-risk but evidence is limited,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Wild Yam,Dioscorea villosa,Spasmolytic; Hormone-modulating,Used historically for cramps and hormonal support,Neutral to slightly cooling; Nourishing,Hormonal claims are overstated but safety data are limited; generally avoided as a hormone herb in pregnancy; breastfeeding use uncertain and best minimised,,,-,
Women's Health,Fertility,Wild Yam,Dioscorea villosa,Spasmolytic; Hormonal modulator (traditional use),Used historically for menstrual irregularity and pelvic cramping affecting fertility,Neutral to slightly cooling; Nourishing,Modern evidence weak for hormonal effects; generally safe in fertility phase; avoid after conception,10,30,mL,1:2
Women's Health,Menopause,Wild Yam,Dioscorea villosa,Spasmolytic; Traditional hormonal support,"Used for cramping, irritability and pelvic congestion in perimenopause and menopause",Neutral to slightly cooling; Nourishing,Generally safe for non-pregnant adults; hormonal actions overstated but well tolerated at standard doses,10,30,mL,1:2
Digestion & Liver,Diarrhoea,Akeake,Dodonaea viscosa,Astringent; Anti-inflammatory; Traditional antimicrobial,Traditionally used in loose stools and bowel disturbance where there is excess moisture and inflammation in the gut,Drying; Slightly cooling; Stabilising,Use under practitioner supervision; limited modern data; avoid in pregnancy due to insufficient safety evidence,25,50,mL,1:2
Digestion & Liver,Bloating,Kohekohe,Dysoxylum spectabile,Mild bitter; Digestive tonic; Anti-inflammatory,Traditional digestive support for sluggish digestion and post-meal fullness; may help ease bloating linked to weak digestive fire,Gently warming; Drying; Lightly stimulating,Limited modern data; traditionally considered safe; avoid in pregnancy due to limited evidence,,,mL,
Digestion & Liver,Diarrhoea,Kohekohe,Dysoxylum spectabile,Bitter tonic; Mild astringent; Anti-inflammatory,Traditional use in digestive upset and diarrhoea where there is weakness and inflammation of the gut,Gently warming; Drying; Lightly stimulating,Use under practitioner supervision; limited data; avoid in pregnancy due to insufficient evidence,20,60,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Echinacea Angustifolia,Echinacea angustifolia,Immune-modulating; Lymphatic,Used acutely for infections in pregnancy when needed,Neutral to cooling; Slightly drying,Generally considered low-risk in short-term use for acute infections in pregnancy and breastfeeding; avoid very long-term continuous high dosing,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Echinacea Purpurea Glycetract,Echinacea purpurea,Immune-modulating; Lymphatic,Low-alcohol glycetract may be preferred form in pregnancy/children,Neutral to cooling; Slightly drying,"Short-term, moderate dosing appears compatible with pregnancy and breastfeeding under professional guidance",,,-,
Skin Condition,Acne,Echinacea,Echinacea spp.,Immune-modulating; Lymphatic; Anti-inflammatory,"Useful for acne with recurrent infection, low-grade inflammation and lymphatic congestion",Neutral to cooling; Slightly drying; Immune-activating,Generally safe; caution in autoimmune conditions where stimulation is unwanted,30,80,mL,1:2
Skin Condition,Boils,Echinacea,Echinacea spp.,Immune-modulating; Antimicrobial; Lymphatic,Useful for acute or recurrent boils with immune weakness and lymphatic congestion,Neutral to cooling; Slightly drying; Immune-activating,Generally safe; caution in autoimmune conditions needing reduced stimulation,30,80,mL,1:2
Skin Condition,Cold Sores (Herpes simplex),Echinacea,Echinacea spp.,Immune-modulating; Antiviral; Lymphatic,"Indicated for recurrent cold sores, viral flares and low immune resilience; supports quicker resolution and reduced recurrence",Neutral to cooling; Slightly drying; Immune-activating,Generally safe; caution in autoimmune conditions requiring low immune stimulation,30,80,mL,1:2
Skin Condition,Eczema,Echinacea,Echinacea spp.,Immune-modulating; Lymphatic; Anti-inflammatory,"Useful for eczema with infection-prone skin, low immunity or chronic inflammation",Neutral to cooling; Slightly drying; Immune-activating,Generally safe; caution in autoimmune conditions,30,80,mL,1:2
Women's Health,Fibrocystic Breast,Echinacea,Echinacea spp.,Immune-modulating; Lymphatic; Anti-inflammatory,Supports lymphatic drainage and reduces inflammatory breast discomfort,Neutral to cooling; Slightly drying,Generally safe; avoid long-term high dosing; safe in breastfeeding but high doses may alter taste of milk,30,80,mL,1:2
Women's Health,Fibroids,Echinacea,Echinacea spp.,Immune-modulating; Lymphatic; Anti-inflammatory,Supports immune surveillance and lymphatic drainage where fibroids coexist with chronic pelvic congestion,Neutral to cooling; Slightly drying,Generally safe; avoid very long-term continuous high dosing; caution in autoimmune conditions needing reduced immune stimulation,30,80,mL,1:2
Men's Health,Benign Prostatic Hypertrophy (BPH),Echinacea blend,Echinacea spp. (blend),Immune modulator; Anti-inflammatory; Lymphatic,Supports chronic low-grade inflammation and immune dysregulation around the prostate in BPH; useful where recurrent UTIs coexist,Neutral to cooling; Slightly drying; Immune?activating,Generally safe; caution in autoimmune conditions where immune stimulation is unwanted,30,80,mL,1:2
Men's Health,Prostatitis,Echinacea blend,Echinacea spp. (blend),Immune modulator; Lymphatic; Anti-inflammatory,Helps resolve acute and recurrent prostatitis by enhancing immune response and reducing local inflammation,Neutral to cooling; Slightly drying; Immune?activating,Generally safe; use caution in autoimmune conditions where stimulation is not desired,30,80,mL,1:2
Haematology,Leukopaenia,Echinacea blend,Echinacea spp. (blend),Immune stimulant/modulator; Lymphatic,Supports white cell activity and immune resilience during leukopaenia related to infection or immune suppression,Neutral to cooling; Slightly drying; Immune-activating,Generally safe; caution in certain autoimmune conditions,30,80,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Echinacea blend,Echinacea spp. (blend),Immune-stimulant; Lymphatic,"As above, used for infections rather than tonic use",Neutral to cooling; Slightly drying,Short-term use for acute infection is generally regarded as compatible with pregnancy and lactation; monitor autoimmune conditions,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Siberian Ginseng,Eleutherococcus senticosus,Adaptogen; Immune tonic,Used for fatigue and resilience,Neutral to warming; Strengthening,"Limited pregnancy data; generally avoided, especially in first trimester; may be considered at low dose in lactation under supervision if benefit is clear",,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Couch Grass,Elymus repens,Gentle diuretic; Urinary soothing,Used for UT irritation and mild cystitis,Cooling; Moistening; Soothing,Considered a gentle urinary herb; limited formal data but typically regarded as low-risk in pregnancy and lactation with appropriate dosing,,,-,
Men's Health,Prostatitis,Couch Grass,Elymus repens,Gentle diuretic; Urinary tract soothing; Mild antimicrobial,"Supports prostatitis and lower UT symptoms with irritation, frequency and residual urine sensation",Cooling; Moistening; Soothing,Generally safe; large doses may cause mild GI upset,20,50,mL,1:2
Men's Health,Benign Prostatic Hypertrophy (BPH),Epilobium,Epilobium parviflorum,Prostate anti-inflammatory; Urinary tract soothing; Mild astringent,"Traditional herb for BPH with frequency, nocturia and weak stream; helps reduce pelvic congestion and irritation",Cooling; Drying; Toning,Generally very safe; occasional mild GI upset possible,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Epilobium,Epilobium parviflorum,Prostate/urinary anti-inflammatory,"Primarily used for prostate and urinary issues, not in pregnancy",Cooling; Drying,Safety data in pregnancy and breastfeeding are lacking; avoid or reserve for specialist use,,,-,
Men's Health,Benign Prostatic Hypertrophy (BPH),Horsetail,Equisetum arvense,Mild diuretic; Connective tissue trophorestorative; Silica donor,Useful in BPH where urinary flow is weak and pelvic connective tissues require support,Cooling; Drying; Toning,Use short to medium term; avoid in significant kidney disease or where oedema is due to cardiac failure,20,40,mL,1:5
Men's Health,Prostatitis,Horsetail,Equisetum arvense,Mild diuretic; Connective tissue trophorestorative,Supports urinary tract integrity and reduces irritation in chronic prostatitis and recurrent UTIs,Cooling; Drying; Toning,Use short to medium term; avoid in significant renal impairment,20,40,mL,1:5
Pregnancy & Lactation,Pregnancy & Lactation,Horsetail,Equisetum arvense,Silica source; Mild diuretic; Connective tissue support,"Used for nails, hair, urinary issues",Cooling; Drying; Toning,Generally avoided in pregnancy and breastfeeding because of limited safety data and potential thiaminase content; short-term low dosing only if clearly indicated,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,California Poppy,Eschscholzia californica,Sedative; Anxiolytic; Mild analgesic,"Used for sleep and anxiety, not first-line in pregnancy",Cooling; Calming,"Limited human safety data; generally avoided in pregnancy and lactation, or used only in low doses under specialist supervision for severe insomnia",,,-,
Men's Health,Prostatitis,Gravelroot,Eupatorium purpureum,Diuretic; Urinary tract tonic; Anti-lithic,"Traditionally used in pelvic and urinary congestion, including prostatitis with deep aching and difficulty voiding",Cooling; Drying; Moving,Use under practitioner supervision; avoid in pregnancy and significant liver disease,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Euphorbia,Euphorbia hirta,Antispasmodic; Respiratory and gut support,"Occasionally used for respiratory or gut complaints, not pregnancy care",Neutral to warming; Drying,The Euphorbia genus includes irritant and toxic species; this herb is best avoided in pregnancy and lactation,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Eyebright,Euphrasia officinalis,Mucosal astringent; Anti-inflammatory,Used for sinus/eye catarrh and allergies,Cooling; Drying; Toning,Generally considered low-risk at modest doses; often acceptable in pregnancy and lactation under professional supervision,,,-,
Digestion & Liver,Diarrhoea,Meadowsweet,Filipendula ulmaria,Anti-inflammatory; Mild astringent; Gastric protective,"Indicated for loose stools with upper GI irritation, acidity or discomfort; helps calm the gut lining and regulate secretions",Cooling; Drying; Soothing,Generally safe; caution in salicylate sensitivity or with anticoagulant therapy,15,30,mL,1:2
Digestion & Liver,Bloating,Fennel,Foeniculum vulgare,Carminative; Antispasmodic; Aromatic digestive aid,"Excellent for gas, bloating and digestive discomfort; ideal for IBS-type bloating; eases fullness after meals",Slightly warming; Moistening; Disperses gas,Very safe; avoid with Apiaceae allergy,20,40,mL,1:2
Digestion & Liver,Colic (Infants),Fennel,Foeniculum vulgare,Carminative; Antispasmodic; Aromatic digestive aid,"Key herb for colic, gas and abdominal distension in infants; helps relax spasm and ease passage of wind",Slightly warming; Moistening; Disperses gas,Very safe at paediatric doses; avoid in infants with Apiaceae allergy,20,50,mL,1:2
Digestion & Liver,Diarrhoea,Fennel,Foeniculum vulgare,Carminative; Antispasmodic; Mild antimicrobial,"Helps relieve gripping, gas and cramping in loose stools or diarrhoeal states, especially in sensitive or IBS-type guts",Slightly warming; Moistening; Disperses gas,Very safe; avoid with Apiaceae allergy,20,50,mL,1:2
Digestion & Liver,Dyspepsia,Fennel,Foeniculum vulgare,Carminative; Antispasmodic; Aromatic digestive aid,"Relieves gas, upper abdominal tension and fullness in functional dyspepsia; suitable for sensitive digestion",Slightly warming; Moistening; Disperses gas,Very safe; avoid with Apiaceae allergy,20,50,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Fennel,Foeniculum vulgare,Carminative; Galactagogue,Used for infant colic (via breastmilk) and to support lactation,Slightly warming; Moistening,Moderate doses are commonly used in breastfeeding and generally regarded as safe; pregnancy use is usually kept modest due to phytoestrogen content,,,-,
Women's Health,Amenorrhoea,Fennel,Foeniculum vulgare,Carminative; Mild estrogenic modulator; Digestive support,"Used where Amenorrhoea is accompanied by digestive sluggishness, stress or mild hormonal imbalance",Warming; Moistening,Generally safe; avoid in estrogen-sensitive cancers; caution in pregnancy,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Bladderwrack,Fucus vesiculosus,Iodine source; Thyroid support,"Occasionally used for thyroid issues, not general pregnancy supplementation",Cooling; Salty,Excess iodine can affect fetal and infant thyroid; use only under endocrinology/herbal specialist supervision if ever used in pregnancy or breastfeeding,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Goat's Rue,Galega officinalis,Galactagogue; Insulin-sensitising,Used mainly to increase milk supply and support glucose control,Cooling; Drying,Not used in pregnancy due to limited safety data and hypoglycaemic potential; may be used in lactation as a galactagogue under professional supervision and blood sugar monitoring,,,-,
Women's Health,PCOS,Goat's Rue,Galega officinalis,Insulin-sensitising; Mild galactagogue; Metabolic modulator,"Indicated for PCOS with insulin resistance, weight gain and impaired glucose tolerance",Cooling; Drying,Use with care; hypoglycaemic effects require monitoring in combination with antidiabetic medication; avoid in pregnancy and lactation,20,40,mL,1:2
Skin Condition,Acne,Cleavers,Galium aparine,Lymphatic; Mild diuretic; Skin detoxifier,"Excellent for acne with lymphatic congestion, puffiness or sluggish elimination pathways",Cooling; Moistening; Moving,Very safe; gentle long-term use acceptable,30,80,mL,1:2
Skin Condition,Eczema,Cleavers,Galium aparine,Lymphatic; Mild diuretic; Skin cleansing,Excellent for lymphatic congestion and chronic eczema with puffiness or sluggish elimination,Cooling; Moistening; Moving,Very safe; gentle long-term use acceptable,30,80,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Cleavers,Galium aparine,Lymphatic; Mild diuretic; Skin support,May be used for mild oedema or lymphatic support,Cooling; Moistening; Moving,Generally regarded as low-risk; limited direct data but typical doses are usually considered compatible with pregnancy and breastfeeding under professional oversight,,,-,
